Sort: Position,Sort: Team,Sort: PTS,Sort: FG%,Sort: FT%,Sort: 3PM,Sort: REB,Sort: AST,Sort: STL,Sort: BLK,Sort: TO
PF,OKC  1,21.1  19,44.6  38,70.7  10,2.4  53,10.1  101,4.0  29,1.3  13,0.8  73,3.1  7
SF,NY  2,22.4  54,44.1  26,75.4  38,3.0  105,7.9  78,3.9  20,1.3  10,0.6  33,2.6  75
SF,DET  3,22.2  47,44.1  29,78.7  73,2.5  54,7.1  60,3.5  10,1.7  77,1.1  96,3.0  8
SG,BOS  4,21.3  23,42.7  11,79.1  76,3.1  107,6.5  38,5.2  99,1.3  23,0.5  22,2.4  69
SF,BOS  5,22.1  43,43.2  14,79.1  77,3.1  113,8.4  82,3.8  16,1.2  8,0.7  65,2.3  64
PG,NY  6,22.3  51,43.6  18,79.6  83,3.1  109,5.6  6,8.5  137,1.4  29,0.5  24,3.6  32
PF,HOU  7,21.0  14,47.2  88,71.4  17,1.9  32,8.8  87,3.5  8,1.5  45,1.2  106,2.1  98
PG,DET  8,22.1  40,41.5  4,79.9  88,2.6  67,5.6  5,7.3  122,2.4  147,0.5  13,4.0  12
SF,MIN  9,21.1  18,43.4  16,81.1  105,2.6  68,8.0  79,4.0  27,1.7  74,0.5  19,2.5  95
PG,OKC  10,21.1  17,41.0  1,73.1  26,3.2  126,6.5  39,7.5  124,1.8  105,0.6  36,3.8  34
C,DET  11,18.1  1,52.0  123,75.5  40,1.2  13,13.2  124,3.3  4,1.7  76,2.0  136,3.3  2
C,BOS  12,19.3  7,48.6  108,71.4  16,1.4  23,13.5  125,3.5  9,1.2  5,1.6  125,2.8  114
PG,BKN  13,22.2  49,44.2  31,80.2  95,2.7  69,6.2  18,8.4  134,2.0  128,0.4  6,3.1  13
PG,HOU  14,22.7  61,44.1  27,76.5  50,3.1  111,5.7  7,7.9  126,1.9  121,0.5  16,3.6  27
PF,LAC  15,20.1  9,46.4  74,76.7  54,2.0  35,9.3  92,3.9  19,1.6  68,1.2  103,2.3  101
SF,OKC  16,21.3  24,41.3  2,80.0  89,3.1  120,8.6  86,4.5  63,1.6  63,0.8  78,3.1  30
PF,PHO  17,20.9  13,46.4  75,76.5  49,1.8  31,10.3  106,4.0  30,1.5  43,1.3  114,3.0  97
SG,HOU  18,21.3  22,41.7  5,77.2  61,3.1  116,6.3  26,4.9  91,1.9  127,0.6  44,2.6  67
